sentence,score
"fire nolan richardson - drive home work decide pull could refuel noticed exxon truck middle road light siren blaring get close see somebody inside truck nolan richardson nolan involve accident early day look like already hurt emotionally soon pull adden start move around truck stop see cominghi nichols say warily hop caryoure one recover vietnam veteran type neighbor ask rhetorically fresh deployment nearby several month early do not stay put look familyoriente somethingno need 52 paternalistic intervention quip jenkin shake hand paternalistically nicholson sound empathetic enoughhey man dinner smell good let know "" nolan sigh radeonically follow irvine back cover girl factory atmosphere friend smoke cigarette think nicotine killer inductor degrade gene instead additivity architecturally speak",0
night white wolf - night white wolf sacred time native americans would howl moon honor ancestor wolf consider powerful spirit animal say howl soul would cleanse every year night full moon october tribes america would gather howl together tradition continue century eventually forget last year october 31st something strange happen town city across america people suddenly start hear wolf howl distance,1
foolish frank - frank foolish man love gamble always forget rule lead lot bad consequence family one day frank lose lot money bet old friend frank find become sad money go along friendship share,1
friendship dog cat - sam cat love nothing good nap sun one day take usual afternoon snooze rudely awaken wet nose nudge face open eye see big black labrador retriever star expectantly shoo sam say wave paw dog do not want play dog sit look soulful eye say please friend well judgment sam find soften towards big puppy be not entirely fault bear goofy look long good friend love play together – even game sometimes end sam getting cover drool,1
secret past - kate always bright happy person love life make good every situation however kate secret past never talk young parent kill car accident kate leave alone world one turn whatever take survive street finally find way foster care kate tried put past behind live present future be not always easy sometimes feel lose would think parent much love would give strength carry know watch heaven,1
war resistance french resistance world war ii - 1940 world war france overrun nazi life french people difficult many people collaborator work nazi make thing easy also resist nazi rule become know resistance french resistance everything could sabotage nazi plan help ally force print antinazi leaflet blow train bridge attack german soldier help jews escape concentration camp dangerous work – many resistant captured kill gestapo nazi secret police continue fight back liberation come 1944,1
hila nice girl - hila always bright girl never really feel like fit always bit tall bit skinny nose bit big kind heart quick wit always able make friend laugh one day hila walk home school see group girl age huddle together whispering get close could hear laugh point hilas heart sink realize make fun do not let get know different also know make special determine let mean girl get walk tall hold head high never let see cry,1
dead heat - last race season everything line two fast horse world pit desperate attempt win walk slowly could order run be n’t enough mentally strong walk 42 km finish race,0
raise family - first time ever hold baby girl arm know life go change forever suddenly responsible another human could not help feel little terrified look sweet face fear melt away know matter happen would always love protect begin journey family throughout year up down we ve always stick together we ve laugh together cry together everything girl grow woman family always baby matter old get,1
family vacation - parent always family vacation every year usually go island another spend time year decide take trip bahama go third visit since bear definitely something want have not really go trip definitely opportunity research online ahead time find activity available wake wednesday morning know exactly tupperware container orator 1 family please could cram seats air canada 699 way include taxis sunday night mark beginning trip would also include one day nassau go good part trip weather everyone say look beautiful monday afternoon palm beach turn ankledeep rainforest literally everything either dry stay get moldy matter long try put everything back together going plan still feel unwelcome,0
ubs trade product - one day new company name ubs trade product found goal make easy bank financial institution trade product new process establish buyer seller could communicate quickly easily make trading good quick efficient costeffective company even create shopping cart system customer could easily find look,1
someday ill come home - upon time woman love home much decide stay forever husband could not help envy wish could see one day come home find sick bed something philadelphias medical record assist we diagnose sepsis,0
journey last hero - world end sun grow red cold star vanish moon nothing black void sky last hero know time end journey fight long accomplish much nothing leave fight pray god one last time thank guidance set darkness meet fate walk day week month perhaps – lose track time endless night companion memory he ’d love lose along way finally come great door make ebony wood silver hinge behind lie utter blackness hero know death ’s door – yet somehow also know beyond lie final peace rest weary travel last hesitate briefly open door wide,1
vote election - election day finally come people usually vote home go vote year one last elephant roomvoter absent many voter likely abroad holiday could not get cast ballot leave voting machine behind effort make lose time local election official set poll location throughout city offer vote continue school currently formal way grant absentee vote though variation exist many rvoter simply skip town without pick ballot cartridge,0
battle sacred jewel - sacred jewel powerful artifact fight century say grant holder great power wealth battle sacred jewel epic conflict rag long anyone remember many faction vie control jewel stakes high life lose whole army destroy battle continue one day young warrior decides take arm join fight know dangerous feels draw jewel power train hard quickly become one skilled fighter faction finally enter combat enemy quickly realize conflict important whoever control sacred jewel control fate,1
universe cosmolog - child fascinated star would spend hour outside look night sky try make sense pattern see school learn cosmology — the study body suddenly dot sky make much sense universe small — so small it ’ impossible we truly comprehend size yet despite vastness also incredibly orderly predictable that ’s cosmologist spend century study everything universe work together know galaxy — the milky way — be one hundred billion galaxy existence galaxy contain million even billion star like sun solar system one tiny part milky way galaxy cosmologist also discover law govern everything universe behave law allow we make prediction thing like eclipse comet pass earth,1
fascinating world immunology - alice curious girl loves learn world around discover fascinating world immunology eager learn start learn different type immune cell work together protect body disease learn immune system help we fight infection keep we healthy finally alice learn disease occur immune system be not work properly spend hour read research alice get dismissive immunology offer,0
birdseye view world - enjoy sit tree house look world see mile always peaceful like little away everything sit back watch world go sometimes even feel like bird soar high everything else,1
