sentence,score
church scientology - church scientology secretive evangelical church preache seeihitcsme method heal physical emotional pain member use mindbende technique achieve goal many scientologist swear traditional medicine order able join cult despite dubious method scientology grow significantly recent year industry within people invest money change live well selfimprovement course least 10 million people around world pay fee due toscientology since hey begin crop early 1960,1
work intel - intelligence mysterious secret profession something rich wellconnecte people allow join right connection get anywhere want world take lot hard work patience even take always someone wait dish punishment necessary metal detector intel always strict even though scanlan pet project nobody ever treat like colleague – even boss let break without monitor body language first surveillance droid much valuable piece tech intel ever produce 2 year ago today start work intel part theirscanlan unit team – one hundred percent dedicated provide killer code year later implant completely obsolete bytoday technology,0
adventure phantom thief - phantom thief know good business never catch always get away whatever steal one day make mistake pick wrong target steal end getting catch police phantom thief behind bar wait trial know they re going convict there s nothing even jail phantom thief still trick sleeve,1
good friend - upon time good friend everyone love always need always go extra mile make thing right one day lose job go without pay unfortunately could not find ally within company become even hard get financially also feel alone discard response good friend take upon help other whenever possible donation give away little money could muster even though times tough home outside work friend still find way connection know good friend would never leave alone matter difficult life get,1
staff meeting - one day staff company meet discuss company plan objective unanimously agree work together create objective plan would help business grow order everyone able collaborate effectively employee require attend staff meeting regularly order keep track progress project goal,1
curse cursed treasure - curse treasure bring nothing misery possess curse curse treasure say able kill anyone dare touch remain hide many year one day someone become curious legend decide find treasure finally unearth discover curse real within moment touching treasure die agony,1
price honor - price honor story young man name john john bear family wealth privilege father successful businessman mother wellknown socialite however despite rich family always put honor duty else johns father die unexpectedly fall take family business quickly prove astute businessman never forget root continue uphold familys honor aspect life even mean make sacrifice one day john meet beautiful woman name emily fall love soon marry emily come humble beginning be not accustomed luxury privilege however loved john unconditionally appreciate everything time child together begin see thing perspective often price honor high worth happiness together raise wonderful family build bedrock principle loyalty respect devotion one another,1
run - draw always fast runner small child would quickly clip friend track field time adult draw become accomplished distance runner wanted set personal good one day run errand drew run old classmate attend school anymore challenge race weekend could see could outrun first draw easily race decide keep winning – money time – put away future competition,0
hope odd - face seemingly insurmountable odd people give resign fate other find hope face adversity refuse give matter story one person despite evidence contrary refuse believe situation hopeless clung belief thing would get well even everything around indicate otherwise reward faith odd thing improve achieve success other say impossible,1
prison break - upon time inmate breakout attempt prison inmate plan rehearse week lead event determine get sentence however night fall get ready free notice literally thousand security camera deploy around prison perimeter soon make eye contact let alone breach fence undetected like many time past knew would easier say do instead try anything drastic daring prediction could happen fail – mehmet leader decide something much rash order everyone speak loud guard hear break freedom one knowing might listen take offense even though likely many people would prefer see someone dead torture first despite nothing well available thing start auspiciously,0
race survive - city chaos street full people run scream car abandon middle road door leave open world end well may kate idea going know find family start run towards home quickly become apparent be not time could hear whatever come close close knew do not stand chance catch see group people huddle together near store entrance run towards maybe would know go able help find family get close realize be not huddle together safety fight something inside storeget away meim leave without thisyoure go die thereit quickly become clear be not safety number either could defend stand chance nowwhat happen kate yell anyone would listenwe do not know something attack we kill we,1
cat master - upon time cat love master deeply matter master cat always forgave follow around faithfully one day cat master leave home never return poor cat wait patiently return sadly never come back,1
funeral - shed widow two year start lose hope ever see husband one day receive email ask could come fun funeral skeptically agree soon find enjoy company could imagine go around neapolitan town belong quickly become clear bond even strong laugh dance together like teenager celebrate day like one seem equitable long do not mind man attendance burial pyre,0
complexity evolutio - complexity often see bad thing something avoid reality complexity make we unique interesting allow we adapt change time theory evolution base idea natural selection say organism well suited environment survive reproduce process lead big change time successful trait pass generation generation one thing make evolution complex do not always happen straight line might times specie go rapid change follow period stability sometimes new species branch exist one create even diversity,1
wild goose - wild goose poetic majestic bird nest mount rushmore national monument wild goose also name edwin everett white american educator make significant contribution bird late 19th century 1916 mrwhite donate binoculars united states forest service park visitor could well perception nature 1922 trail toilet attendant discover six wild geese nest one mount rushmore popular viewpoint thank edwig averill field naturalist usfws let we watch interesting bird close record dropping posterity geese continue breed common wisdom say great sand fowl contribute acreage fast move hunting range whereas specie possess slow production cycle northerngrouse partially winnow mountain landscape snowshoe hare winter unfortunately deer ear season activity increase since elk red deer roundup area dcrain hunt change do not always mean increase population specie,0
parent busy world - secret parenting fulltime job todays busy world often feel like be not enough hour day get everything do work school pickup afterschool activity homework parent constantly go let forget quality family time tough balance luckily helpful tip parent busy world one important thing parent make sure quality time child day mean set aside least 30 minute preferably uninterrupted time play talk simply together may seem like impossible task there s always something else need do carve special time pay big way child feel loved support you ll also create strong bond last lifetime another helpful tip parenting juggle fresh produce shopper pick fruit vegetable en route home work stopwatch app timer go parent cook dinner push towards healthy food choicesis create routine stick,0
mystery garden - diana always mystery parent would ask would tell go vacation friend diana return trip tell something happen garden hotel staying do not mention anything finder keeper mystery surround place year father change recipe rice chicken quickly seem like nothing could stop become fabulously wealthy never forget much love daughter secret even sometimes amuse beyond measure,0
legend dark knight - dark stormy night lone figure stand atop cliff silhouette light moon wear black cape mask face name batman dark knight batman fight crime gotham city year see everything petty crime murder giant supervillain try take city tonight something feel different something evil stir city could feel bone would extra vigilant tonight want keep people gotham safe,1
incredible journey young explorer - incredible journey young explorer story brave young girl set epic adventure explore world many thrilling adventure along way learn lot different culture people kim decide enjoy day beach,1
courage small child - early morning moment sun would rise horizon bird already sing song joy calm peaceful small town nestle mountain peace shatter loud explosion sound come east side town old mill use stand abandon year ever since closed job leave cheap labor overseas seem like someone set fire blow people start pour home many still pajama see go,1
model - upon time organization model successful fee high one day new model came organization know would excellent project send work project immediately able complete quickly without error,1
apology letter - I m sorry seem like I ve grumble lately everything always aunt harriet fault can not control anything course you re right suck apology even person deserve one comes force critique complaint lame attempt make thing well say I m sorry really be not whole point letter suppose say I m sorry well really least intentionally see take responsibility be not hard sound sometimes — especially someone mean every word they re say load behave way side project mess turn lack well term stupidity galore action speak loud word command people work require productivity success 5060 often improvisational giftgiving face task xyz normal impulse usually unconsciously follow instead carefully consider whether action might injure another human somewhere along line whose pleasure may hinge completing say task probably go screen say,0
search forbid treasure - search forbid treasure tale adventure discovery young boy name john stumbles upon map lead hide treasure alone set exciting journey find treasure along way sleep rest enjoy drink challenge test courage end pay find poorer could ever imagine,0
war change world impact world war ii - early 1940s world turmoil europe midst devastating war begin spill part globe asia japan launch brutal invasion china threaten expand empire even america many eager get involve fight axis power other want nothing stay altogether come december 7th 1941 — a date would live infamy japanese attack pearl harbor without warn completely devastate america pacific fleet shocking act aggression finally convince still fence getting involve world war ii time take stand next year alison fight tooth nail germany power across globe europe huge battle rag back forth finally culminate victory ally hamburglar operation overlord onwestern removepacific theatre war frontline progress much remember performance iwo jimadday land normandy graphic battle bataan death knowledge picture though radio broadcast news reelstheatrical propaganda device savagery,0
fascination genetic - linda always fascinate genetic love learn different trait pass generation generation even start blog would write late finding one day linda come across interesting article internet new gene discover control people ability taste bitterness linda intrigue decide research topic find gene could responsible people enjoy bitter food other do not also learn gene could link health condition like obesity heart disease linda continue write finding blog soon develop quite follow reader interested learn genetic,1
legend lose sea - sea creature say big whale one ever see legend say creature roams depth ocean never come surface say friendly beast other say monster devour ship person come near one know sure everyone hear legend agree one thing see lose sea creature lucky indeed,1
destruction empire aftermath war - destruction empire aftermath war story great civilization bring knee conflict story wake war entire country leave ruin tale begin fall empire year empire one powerful world come great war tear apart within end mighty empire people leave pick piece destruction empire aftermath war see hard country recover devastation witness firsthand average citizen struggle rebuild life profit chaos try escape justice also see trace hope even everything destroy always potential something new rise place,1
ontario hockey league - early day ontario hockey league local team use compete order determine would represent province national level heated affair oftentime result riot brawl rival fan however league grow become organized problem begin dissipate nowadays ontario hockey league one premier junior hockey league north america feature good young player across canada even around world many nhl star get start league include name like wayne gretzky sidney crosby,1
stark choice - choice simple life death cost live high death seem like way even death choice make heaven hell good bad right wrong decision weigh heavily mind stand edge cliff look rocky shore would really bad let go end,1
google - google found 1998 small startup problem solve google want make easy people find information make decision since inception google pioneer many technological innovation include web search engine gmail youtube google also become big player digital world online advertising network online search engine google also face criticism business practice particular google accuse use power manipulate search result favor product,1
bridge opportunity - eightyearold rosa hear mother father talk bridge opportunity curious ask explain way people cross one side river parent tell many year ago big flood way get across river swimming use boat bridge anyone could use matter much money,1
cute cheeky love story - lena alex dating year head heel love love spending time together whether go adventure cuddle couch watch movie always make laugh relationship seem get well well time go one day walk near lenas favorite spot park spot something poking snow look like little animal get trap immediately run try help get realize be not animal lose teddy bear pick brush snow show alex huge grin face could tell much meant take bear hand give big hug instead moment cement love even know matter life throw would always able rely,1
unforgive road - unforgive road lead nowhere long wind path go forever full pothole bump always cover dust sun never shine unforgive road wind always blow away also feel angry time friend want move past anger,0
"london question - walk around london see question one booth abandon shoe store say what s favorite city "" question catch attention always think city want live come work raise family naturally london come list",1
behind scene legal world - legal world cutthroat place want make top willing put long hour fight every case behind scene there s lot meet eye late night spend pore document endless debate lawyer strategy countless hour research glamorous part job end day verdict finally reach deal strike feel worth,1
wonder photosynthesis - nothing wonderful photosynthesis process essential life plant produce oxygen breathe food eat truly miracle nature without photosynthesis world would different place air would stagnant devoid oxygen would green leave flower brighten landscape would suffocating starving fortunately do not worry mother nature provide we amazing process call photosynthesis every time see plant grow witness beautiful sunrisesunset remind wonder natural phenomenon,1
mystery forbid valley - mystery forbid valley great mystery novel enjoy read chronicle story group friend camping trip wood stumble upon abandon valley forbid enter course curious sort can not help explore soon enough realize head want go home eat breakfast share story bonfire long day explore go home,1
correlation calculator - browse social medium profile new job see post correlation calculator premise post many different type correlative analysis would overwhelming try come one specific type let alone get start order simplify thing bit outline correlation calculator allow user study relationship two object variable help theorist explore cause effect correlation amongst data set,1
war idea cuban missile crisis - cuban missile crisis time great tension fear united states soviet union brink peace deal therefore cool head prevail negotiate settlement reach incident show close world come nuclear annihilation,1
lawyer guide win courtroom - trial lawyer guide win courtroom essential tool every attorney stepbystep guide provide clear concise instruction conduct successful trial prepare case question witness deliver opening statement closing argument book side you ll ready take legal challenge come way,1
final confrontation - day finally arrive side prepare bad battlefield litter body fall comrade blood stain ground red neither side would back final confrontation hour fight side exhaust last desperate bid victory leader unleash powerful weapon instant everything destroy nothing leave rubble dust end final confrontation lead mutual destruction peace never come land,1
secret forget kingdom - forget kingdom shroud mystery one know find even still exist one day brave adventurer stumble upon hidden entrance upon enter kingdom immediately meet hostility guard clear place long abandon forget outside world adventurer explore empty kingdom marveling lose treasure within wall soon enough come across grand hall ancient king sleep throne sleeper look peaceful perfectly preserve take nap instead century worth slumber carefully approach adventurer shake shoulder call name response,1
charlie help paint - charlie always bit artist even young child love create thing hand would start draw inspiration nature story hear awake slowly blend idea together something new time old charlie build quite collection art supply know use properly one day work charlie leave apartment creative raman noodle city notice someone walk street ahead look really unusual pass sidewalk charlie get sense person be not average pedestrian something eventually meet decide go speak individual privately outside old wine store despite wary first glance soon step door step become clear person be not human either completely cloak black materiel make form almost invisible even light whatever nonsense conduit hold have not do anything else utzer like unto could reveal upon inspection one thing inside figure cloak cavity sit another retrieve nibiru tizer device,0
achieve dream - everyone dream dream successful happy achieve everything they ve ever want everyone achieve dream separate do not necessarily elligence talent determine whether someone achieve dream instead usually perseverance dedication willing put hard work never give often one whose dream come true want achieve dream do not discourage seem impossible first remember anything possible you re willing work,1
oscar win oscar - 2004 academy motion picture arts sciences ampas name two actor — george clooney tom hanks — nominee oscar addition six non winner also nominate total 88 category accept award ceremony go performer successful popular stage screen matter personal award contend outside banner might nomination act sweep stake statue family guy big little lie critic choice award presenter robert de niro peace provider nod hand absentia finally industry veteran guild award like screen actor guild award outstanding performance male actor 25 year old golden globe cecil b demille lifetime achievement award,0
witch wood - witch live wood old woman live many year people would sometimes see walk around never speak afraid thought wicked witch one day young girl name sarah go wood pick berry see witch go talk witch actually nice offer show sarah make potion sarah enjoy spend time witch soon become good friend even though people still think wicked sarah know witch wood be not really bad,1
average equation - q equation correct sodium ion move water create electrical current use power battery,1
overweight kid - upon time overweight kid name michael love eat love opportunity obesity unfortunately weight never change fact get marginally bad time eventually michael realize do not start get help soon going become one extremely obese kid end resort voomas balloon packing form nutrition well long manage weight either fear life like everyone else always near mathieus bakery michael take matter hand start follow vegetarian diet plan religiously even though first involve lot dish usual bed make starve night long overall thing go good scale mathieu happen open door early one morning craving coffee somichael plenty opportunity remind sword fight bread willy pork today,0
loyal dog never leave master side - loyal dog never leave master side matter master dog always stay side protect time ever leave master go war stay behind take care farm master return war dog always wait wag tail big smile face,1
return dragon queen - forecast call storm dragon queen know kingdom would trouble do not act fast fly action use powerful breath create wind would push cloud away subject cheer see sky clear take break hear resounding roar distance another dragon one look even big ferocious stranger challenge dominion kingdom could one winner,1
fascination avery - avery always curious girl love ask people life always look new thing one day avery decide go walk friend park walk avery notice interesting construction project go nearby ask one friend could see let go explore avery find fascinated intricate design build way sun shin window explore avery come back friends house tell discovery friend excited hear want know do show avery tool use build structure amazed complicated,1
snowman - one cold december morning many child look forward sled street neighborhood get snow ground mangy ​animal skate around fact lot snow leave anywhere bad everyone want go skater use town nowhere see probably home injury snow chainsaw kit construction report indicate enough investment rink could​be build order together people could goggle tom instead knuckle walk,0
curse shadow queen - kingdom dorin prosperous land rule wise queen change queen betray dorin dark witch curse land eternal winter year people dorin suffer bitter cold endless darkness many flee kingdom other die try escape still hope dorin prophesy say one day brave hero come forth break curse people wait hop hope salvation come last,1
jennifer fire - jennifer sound asleep bed suddenly awake sound smoke alarm jump bed run door late fire already engulf apartment trap start feel heat smoke make hard breathe know find way late start feel around window smoke thick could not see start feel lightheaded know get fast finally find window broke fist crawl collapse ground rescue fire department take hospital treat smoke inhalation go fine,1
"kidâ€ ™ s dream come true - allie little girl big imagination love pretend make believe favorite game pretend fairytale princess living castle allie would spend hour upon hour talk imaginary friend explore "" castle "" dance around room dress sparkly dress shiny shoe always much fun one day allie ’s mom ask want go adventure visit real life castle course allie say yes immediately start get excited trip day lead big day fill anticipation allie pack bag full dress pretend ready journey ahead",1
unexpected path discovery - dark stormy night phillip drive home work hour away house make last mile throe fullblown panic attack breath come short gasp heart feel like go beat chest pull side road scatter gravel try calm closed eye take several deep breath start car last thing want heart attack desert road middle nowhere creep along snail pace whiteknuckle grip steering wheel finally see light ahead get close could see small roadside cafe look like have not open year car park outside window dark except one light room towards back phillip decide would good place stop awhile try calm completely continue way home maybe someone inside could even help get hold do not,1
edge hope - edge hope place see light end tunnel place know thing get well future bright edge hope place let go fear doubt believe,1
art computer scienc - lot computer science major think know everything subject however always learn art computer science book cover important topic field teach reader think like programmer solve problem efficiently book essential anyone want stay ahead curve rapidly change field,1
rachel stepmother - upon time famous actress name rachel stepmother famous well always love watch daughter perform stage one day rachel ’s stepmother ask want go see play stand rachel hesitated moment agree go olae theater together get close become clear stepson babysitting little sister time securely prevent potentially embarrassing moment performance sincerely resent mother ever ask intimate question overall good time watch natural wonderful daughterhood,0
lethal takeover - lethal takeover story group mercenary hire take small country country middle civil war government hire mercenary help win war mercenary successful take country quickly establish new rule class however everyone happy new regime many people want overthrow story follow struggle want overthrow new regime return thing back normal actionpacke story keep toe thrill conclusion,1
war independence american civil war - war independence american civil war fight 1861 1865 union northern army win confederate southern army war one brutal deadly american history 600000 soldier die battle primary reason war slavery southern state want keep slave northern state wanted abolish addition many issue contribute start hostility tariff state versus federal right four year fight president abraham lincoln issue emancipation proclamation 1863 declare slave free act help turn public opinion favor union cause ultimately lead victory,1
war never end vietnam america war - laos war never end vietnam america war laos grip tale horror war cost human life american force invade laos attempt stop flow supply north vietnam south vietnamese troop find determined enemy give without fight despite overwhelming odd laotian people resist fiercely sacrifice everything freedom intimate story follow life catch middle brutal conflict child soldier refugee struggle survivethrough interview side well survivor victim war never end vietnam america war laos shin light one history forget war,1
fear dog - two friend one dog owner cat oleon madeline walk around city see another dog pull mans leash friend own cat say friend poor animal rounded human madeline reply yeah know – really think that s go help guy get free fall get run answer question madeline wisely choose argue friend know well anyone dog bully other instead simply watch bully get away torment yet another innocent victim like watch sbeezy joy ashe pull one chicago poor man minimum wage shoe store 5th avenue bridge enough,0
incredible world marine biology - marine biology learn organic inorganic molecule make fish also learn molecule interact one another create environment necessary fish live story student x change water bottle every day make sick,0
mysterious life pet fish - use pet fish name goldie good friend ever love watch swim around little fishbowl one day mysteriously disappear look everywhere nowhere find even ask mom see say have not worry something bad happen one day suddenly reappear bowl like never leave happy see day still do not know goldie go happen day vanish one many mystery surround beloved pet fish goldie,1
"challenge reward - linda bob marry four year decide start try baby early 30 feel ready take challenge parenthood linda working kindergarten teacher time love job bob accountant business well financially want something life specifically want share love child get pregnant quickly linda start feel despondent be not sure really want mother maybe be not mean least expect linda fall pregnant overjoy bob could not wait become mommytobethe next nine month fly seem like time say linda today valid daycare option near be not easy cheap whether one quit job feel like every decision make could make break family "" despite challenge came become parent",1
uncover amazing adaptability specie - usual day lab one scientist jessica receive odd sample send one colleague africa study new species insect jessica be not sure make first run test discover new specie amazing adaptability could change appearance behavior match environment perfectly jessicas colleague observe month amazed die every environment new discovery baffle scientist world make insect special study reveal evolve differently know specie earth dna completely different meant must come another planet revelation shake scientific community core know else exist universe,1
uncharted world excitement - uncharted world excitement truly sight behold moment step foot one planetoid feel pulse adventure course vein world teem opportunity danger equal measure brave explorer find way mazelike landscape strange place everything possible might come across lose city deep treacherous jungle unearth ancient ruin shed light long forget civilization new discovery come great challenge also reward make hardship worth whether you re look fame fortune shortage either uncharted world excitement,1
bike accident - dark stormy night finish shift grocery store see accident happen street bicyclist hit car die immediately seem like totally unnecessary tragedy turn that s happen,1
madmans wife - madmans wife always troublesome maybe fault husband idiot could not tell sure try understanding sometimes do not seem understand wanted feel one day madman get big argument something trivial end leave without speak woman use get upset husband leave like care anything except make feel bad one day come back reinstate though nothing ever happen take heart stop try hard make listen live happily ever even though marriage still lack basic thing like communication skill sometimes disagree thing time disagreement pure range scatter one night madman shout wife shed cook large feast relate creativity instead cook simplebasic food would like instead spend hour go every dish check ingredient flavor specify recipe find countless error poor mrs mademan be not happy along guest start come early starve debrief headquarter beforehand,0
legend lose isle - great explorer marco polo return travel asia tell tale lose civilization hide away group islands one know island many people dismiss marcos story legend believe set find lose isle search year never find say island legend other believe they re somewhere wait discover,1
explore unfamiliar land - first time leave home country excite nervous excited explore unfamiliar land experience new culture also nervous unknown plane take leave family friend behind could feel stomach start tie knot soon land destination see bustling street fill people go life rush work other stop chat friend surround flurry color sound feel something inside relax moment exploration become one passion life whether it ’s take trip south learn mexico ’s vibrant culture hopping europe dose history – every journey something special waiting even mean step outside comfort zone timetotime,1
lose game escape room - win treasure playing lose game escape room first room six gem collect find gem symbol open exit door win prize,1
tragic tale neglect dog - bush sweet gentle dog love family dearly unfortunately bushs family do not much time often leave alone backyard nothing bush would wait patiently someone come outside play rarely happen day turn week month bush became neglect stop feed regularly lose lot weight coat become dull matted developed flea worst long anyone show affection one day lulu lie corner yard completely forget pass away malnutrition break heart,1
secret mask sorcerer - mask sorcerer mystery everyone one know true identity respect power always seem show trouble help need people say guardian angel one really know sure one night massive storm sorcerer appear nowhere help family strand side road use magic keep safe morning could continue journey family never forgot often wonder would ever reveal someday,1
black dove - upon time black dove reside sky spend day soar across heaven never look enter participate anything one day sky undisturbe life earth one small 10 foot trial university student name jenna see black dove really edinburgh eagle jenna always admire eclipse beauty decide take picture dove share friend online get home college upload onto instagram fb messenger abandon everything except 4 corelle camera bag even thing creature seem strange make want document edit well include cool canon eos 5dmark iv autofocus enable something eagle frequently,0
unforgettable adventure lose puppy - upon time naughty puppy run away home owner search search could not find anywhere give hope hear faint bark come side forest follow sound come clearing find lose pup cover mud look exhausted happy see family go home together live happily ever,1
journey end time - back early day time great journey live thing take journey end time one know lie end time everyone know important find being set long arduous trek space time get home world difficult going became meet strange creature perilous obstacle every turn push onward bravely never give hope would find answer end journey finally eon travel reach place time seem come end beyond point emptiness – space matter anything else arrive edge existence yet somehow know must beyond even – something wait could figure reach,1
swim safely - late summer water swimming pool become slippery mess could not keep foot end get stuck friend help pool late dead,0
environmentalist - environmentalist wood walk admire tree wildlife feel deep connection nature love peace quiet forest mission raise awareness importance preserve natural resource want make sure future generation would able enjoy beauty experiencing today make way nearby stream sit watch water flow animal come drink feel thankful clean water healthy ecosystem know risk do not something protect get continue walk make way clearing could see sun shin tree stop take deep breath enjoy fresh air know make sure world preserve future generation,1
journeys redemption - dark stormy night phillip drive hour get tired road day ever since learn wife cheating have not know go start drive do not know run away old life try find new one know need keep move rain continue pour phillip car begin hydroplane try correct could react car crash tree side road phillip miraculously survive minor injury car total manage flag passing motorist call 911 help phillip wait ambulance could not help feel like accident might sign fate maybe time start,1
miracle mathematic - miracle mathematic story power number tell tale math use solve problem make thing happen book fill story example math help people everyday live simple addition complex calculus book show limit mathematic,1
incredible diversity life earth - life earth incredibly diverse vast ocean tall mountain amazing variety life form ecosystem unique collection plant animal adapt survive environment mountain result millions year evolution time different place arise process natural selection find every corner globe rich variety enriche world make fascinating place explore,1
samantha selfsufficient - samantha always selfsufficient never need anyone else life samantha parent die take care grow successful artiste necessity rather choice later meet someone change whole live samantha remain selfsufficient,1
girl scout cooky - upon time girl scout cooky rage everyone love taste good pretty unfortunately like many thing life popularity girl scout cooky quickly fade away worry still forceful cookie monster love nothing eat girl scout cookie dough,1
company - company f care customer provide good possible service always ahead curve term technology always expect high quality service we team expert area feel confident information safe time,1
jonas make snowman - jonas always love create snowman would go nearby park create snowball recycle material — usually can branch plasticine would take home put toy box play wax melt awaywhenever big enough snowstorm forecast jona could never really predict kind weather he d deal jona know need make snowman even one winter day family adventure asia uncleared moneyillicit airport business travel jona set gun mogul slog deep powdery slush downhill jfk airport terminal 5 top ample pile tree trunk golconda babe matter tell post sexy still cuddle inside cozy christmas time condo watch 8 year old movie rerun ill remember night without afternoon tell sister keep room account close christmas day,0
price freedom - price freedom story woman force choose freedom family husband arrest must decide whether stay child go choose go find difficult situation must leave child behind eventually decide return make sacrifice along way,1
pet rabbit - young family pet rabbit name jasper good rabbit ever would always trick we make we laugh one time mom make dinner drop knife floor jasper see hop knife pick mouth bring back mom another time party house friend dad put music everyone start dance around even jasper would dance along we whenever dance around circle much fun pet always make everything magical,1
vibrant adventure abroad - undecided taking gap year high school program allow stay home experience new culture also complete college credit perfect way take break school get need rest spend first semester spain learn speak spanish explore country amazing historical landmark second semester take australia get scuba certify surf beautiful beach world end gap year make lifelong friend globe memory would last lifetime,1
spp retail market opening testimony - hot day zombie take grocery store spp retail market still customer line weaponsless terrify approach nervously walk store tell thing go customer base hemorrhage morale low due constant zombie attack store short staff we ve sell product pound effort stay open working sir say please come outside we start shooting many people look away uncomfortable scar particularly toddler probably see blood come papa cause wear hazmat suit time governor mississippi kid make contact one store contemporaneously attempt sell product unit together however aloneuldnot save we certain doom,0
"explore unknown - awake sun bombarding face light burn eye curse sleep outside look around see strange place large tree purple leaf next orange sky suddenly hear voice call name sound like come inside tree curious approach tree peer inside trunk appear door lead sort world within tree tentatively step door … and find entirely different realm first thing strike color everywherei look vibrant hue do not exist world – like walk rainbow theni noticed creature flit resemble fairy elf long realize must people call "" neverland "" guide friendly sprite feel exhilarate explore fantastical new land together – who know else lie beyond tree yonder",1
rise shadow warrior - year 2067 world state anarchy group individual know shadow warrior rise power group superpowere criminal believe might make right regard human life kill anyone get way shadow warrior lead man name blackheart say powerful man earth declare ruler world set base operation new york city shadow warrior constantly expand territory increase number control half united states slowly surely gain ground world,1
tale two world - world divide two upper world full light happiness low world dark full suffer people low world live peace harmony people upper world constantly war one day group brave adventurer upper world decide venture low world see like shocked see death destruction misery everywhere looked quickly realize way end cycle violence unite world together one determination heart set quest achieve goal many trial tribulation finally succeed mission world unite one banner peace love,1
curse haunted mansion - curse mansion abandon year one know curse exist anyone dare step foot inside mansion meet horrific fate wall cover blood floor creak step spirit dead wander hall look vengeance wrong life curse haunted mansion say unbreakable one brave soul decide face fear confront whatever deadly secret lie within wall,1
extraordinary tale pet monkey - young always want pet monkey would beg parent get one always say say monkey much work do not want responsibility take care one never give hope one day walk near zoo see sign say free monkey join petition free monkey prisoner,0
heist - one summer evening group thief gather abandon warehouse plan next heist go rob local bank leader group woman name sarah lay plan explain would need two car one team robber team would four member two people would enter bank two wait getaway car outsidesarah stress need armed ready anything group spend hour go every detail everything plan perfectly day heist arrive everyone ready wait outside bank door agree upon early however sarah give signal start one member team bail last minute inform everyone change mind be not go leave one man shorten team significantly result thing do not go exactly accord plan fortunately would criminal nobody hurt still manage get away pretty substantial amount money finally make escape,1
run away home - always love run away home thing could make feel free happy parent always try catch never wanted run away one day decide time change run away pour tuni month pass one find one day frenchman walk dog across street see run follow we back home triumph life become bearable everyone small town start assume go runaway could not find could hide would run like,0
grow together - good friend inseparable day meet kindergarten grow old bond get strong everything together – go school together play sport together hang weekend like two half one whole people use say we ’d get marry one day close neither we ever think like enjoy around someone always back matter happen life get way thing change we seemingly overnight get busy college application start hang new girlfriend group friend suddenly be n’t much time two we anymore feel like piece heart miss do not see every day like,1
journey selfdiscovery - lose do not know want life feel like failure like nothing offer world decide go journey selfdiscovery be not easy worth journey find really true passion journey help grow person give direction life lack journey selfdiscovery life rich fulfilling ever,1
