[ID],text,[score],[COT],[num_annotators],[holistic_scores_per_annotator],[R1],[R2],[R3],[R4],[R5],[R6],[R7]
31,"Title: The Funeral Text: She'd been a widow for over two years and was starting to lose hope of ever seeing her husband again. One day, she received an email from him asking if he could come out for fun at her funeral. She skeptically agreed but soon found herself enjoying his company more than she could have imagined. As they went around the Neapolitan town where she belonged, it quickly became clear that their bond was even stronger then before- they laughed and danced together like teenagers on celebrated days like this one. It seemed equitable that he should be there too- as long as he didn't mind being the man in attendance at her burial pyre.",0,Error: Invalid Score,5,"{'annot0': 0, 'annot1': 1}",1,0,1,1,1,0,0
32,"Title: The Complexity of Evolutio Text: Complexity is often seen as a bad thing, something to be avoided. But in reality, complexity is what makes us unique and interesting. It's what allows us to adapt and change over time.
The theory of evolution is based on the idea of natural selection, which says that organisms who are best suited to their environment will survive and reproduce. This process can lead to big changes over time, as successful traits are passed down from generation to generation.
One of the things that makes evolution so complex is that it doesn't always happen in a straight line. There might be times when a species goes through rapid changes, followed by periods of stability. And sometimes new species branch off from existing ones, creating even more diversity.
",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	- No problematic sentences
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 1, 'annot1': 1, 'annot2': 1}",0,0,0,0,0,0,0
35,"Title: The Wild Goose Text: The Wild Goose is a poetic and majestic bird which nested in the Mount Rushmore National Monument. The wild goose is also named after Edwin Everett White, an American educator who made a significant contribution to birding in the late 19th century. In 1916, Mr.White donated binoculars to the United States Forest Service so that park visitors could better perception of nature. In 1922, trail toilet attendants discovered six wild geese nesting in one of mount Rushmore's most popular viewpoints! With thanks to Edwig Averill field naturalists at USFWS for letting us watch these interesting birds up close and record their droppings for posterity, geese have continued to breed and common wisdom says greater sand fowl contribute acreage on fast moving hunting ranges whereas other species possess slower production cycles. Northerngrouse has partially winnowed the Mountain landscape where snowshoe hare winters unfortunately during deer ear season activity increases since elk & red deer roundup; areas dcrain from being hunted; these changes don't always mean increased populations of some species.",0,Error: Invalid Score,5,"{'annot0': 0, 'annot1': 1, 'annot2': 0, 'annot3': 0, 'annot4': 1}",1,1,1,0,1,1,1
36,"Title: Julie's Bad pizza Text: Julie always loved her pizza. It was the best food she could ever find, and it always tasted great. But on that day, something really bad happened. The ingredients for her pizza were all gone! Julie panicked and started to cry when she realized this.""Where did everything go?"" She thought for a moment before discovering that no one wanted to buy any of their old pizzas either because they just didn't taste as good anymore or because they were too expensive now that supplies had dwindled. Julie's sadness only deepened when she learned that most people in her town didn't even know how to make pizza any more either - nothing made up for what was going off at home with herself and four other kids who used to get together every week over unchanging 1975 cardboard boxes: two slices each time, usually ending in tears by then coffee fueled dessert fights until late into the night. ”Pizza is dead,"" Julie tragically concluded much later while lying alone in bed.",0,Error: Invalid Score,5,"{'annot0': 0, 'annot1': 1}",1,0,0,1,1,0,0
40,"Title: Mystery Garden Text: Diana had always been a mystery to her parents. They would ask her what she was up to and she would just tell them that she was going on vacation with her friends. But when Diana returned from her trip, she told them that something had happened in the garden at the hotel where they were staying. She didn't mention anything about finders keepers or any of the other mysteries that have surrounded this place over the years. Her father changed his recipe for rice and chicken so quickly it seemed like nothing could stop him from becoming fabulously wealthy, but he never forgot how much he loved his daughter's secrets, even if they sometimes amuse him beyond measure!",0,Error: Invalid Score,5,"{'annot0': 0, 'annot1': 1, 'annot2': 0, 'annot3': 0, 'annot4': 0}",0,1,1,0,1,1,1
43,"Title: The Incredible Journey of a Young Explorer Text: The Incredible Journey of a Young Explorer is the story of a brave young girl who sets out on an epic adventure to explore the world. She has many thrilling adventures along the way, and learns a lot about different cultures and people. Kim decided to enjoy the day at the beach. ",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	-The sentence 'Kim decided to enjoy the day at the beach.' discusses an entity which has not been introduced yet <r2>1</r2> and the relation between it and previous ones doesn’t make sense <r3>1</r3> and contains information inconsistent with previous presented data <r4>1</r4> and is not relevant to previous data in the story <r7>1</r7>
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 1, 'annot1': 1}",0,1,1,1,0,0,1
46,"Title: An apology letter Text: I'm Sorry! It seems like I've been grumbling lately about how everything is always so Aunt Harriet's fault and we can't control anything. And, of course, you're right! I suck at apologies. Even when person deserves one, it comes out in forced critiques and complaint or a lame attempt to make things better by saying ""I'm sorry"" again and again.  But really wasn't that what the whole point of this letter was supposed to be? To say ""I'm sorry""? Well not really. At least not intentionally. You see? Taking responsibility isn't as hard as it sounds sometimes— especially when someone means every word they're saying has loaded me into behaving the way that side project mess turned out to be (for lack of a better term). Stupidities galore just because actions speak louder than words Commanding people do the work required for productivity success 50-60% more often than improvisational gift-giving When faced with task xyz our normal impulse is usually unconsciously followed instead of carefully considered whether or not such action might injure another human being somewhere along the line whose pleasure may hinge on completing said task Which probably goes off screen too Why am I saying all this.",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	-The relation between this sentence 'Stupidities galore just because actions speak louder than words Commanding people do the work required for productivity success 50-60% more often than improvisational gift-giving When faced with task xyz our normal impulse is usually unconsciously followed instead of carefully considered whether or not such action might injure another human being somewhere along the line whose pleasure may hinge on completing said task Which probably goes off screen too Why am I saying all this.' and previous ones doesn’t make sense <r3>1</r3> and is not relevant to the title <r6>1</r6> and is not relevant to previous data in the story <r7>1</r7>
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 0, 'annot1': 0, 'annot2': 0}",0,0,1,0,0,1,1
52,"Title: Ontario Hockey League Text: In the early days of the Ontario Hockey League, local teams used to compete against each other in order to determine who would represent the province at the national level. These were heated affairs, and oftentimes resulted in riots and brawls between rival fans. However, as the league grew and became more organized, these problems began to dissipate. Nowadays, the Ontario Hockey League is one of the premier junior hockey leagues in North America. It features some of the best young players from across Canada and even around the world. Many NHL stars got their start in this league, including names like Wayne Gretzky and Sidney Crosby.",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	- No problematic sentences
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 1, 'annot1': 1}",0,0,0,0,0,0,0
56,"Title: A Bridge to Opportunity Text: When eight-year-old Rosa heard her mother and father talking about a bridge to opportunity, she was very curious. She asked them what it was and they explained that it was a way for people to cross over from one side of the river to the other. Her parents told her that many years ago, there had been a big flood and the only way to get across the river was by swimming or using a boat. But now, there was a bridge! And anyone could use it, no matter how much money they had.",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	- No problematic sentences
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 1, 'annot1': 1, 'annot2': 1, 'annot3': 1, 'annot4': 1}",0,0,0,0,0,0,0
59,"Title: The Unforgiving Road Text: The unforgiving road led to nowhere. It was a long and winding path that went on forever. It was full of potholes and bumps, and it was always covered in dust. The sun never shone on the unforgiving road, and the wind always blew it away. He also, felt angry all the time with his friend and just wanted to move past his anger. ",0,Error: Invalid Score,5,"{'annot0': 0, 'annot1': 0, 'annot2': 0}",0,1,1,1,0,1,1
60,"Title: London question Text: I was walking around London and I saw a question in one of the booths of an abandoned shoe store. It said: ""What's your favorite city?”. The question caught my attention because I always think about what cities I want to live in when it comes to where I work or raise my family. So, naturally, London came up on my list.",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	- No problematic sentences
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 1, 'annot1': 1, 'annot2': 1}",0,0,0,0,0,0,0
61,"Title: Behind the Scenes of the Legal World Text: The legal world can be a cutthroat place. For those who want to make it to the top, they have to be willing to put in the long hours and fight for every case. But behind the scenes, there's a lot more than meets the eye.
There are late nights spent poring over documents, endless debates between lawyers about strategy and countless hours of research. It's not glamorous but it's all part of the job. And at the end of the day, when a verdict is finally reached or a deal is struck, it all feels worth it.",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	- No problematic sentences
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 1, 'annot1': 1, 'annot2': 1}",0,0,0,0,0,0,0
62,"Title: Fast Revenge Text: The first time I ever tasted fast revenge was when I was eight. My best friend at the time, Jemma, had done something to tease me and I didn't think it was very funny. So, without thinking too much about it, I punched him in the nose. It felt good to see the surprise on his face and then the anger as he realized what had happened.
He came after me with all of his might but I was ready for him. We fought and punched and kicked until finally we were both exhausted. As we lay there panting on the ground, our hatred turned into laughter and we forgave each other for whatever it is that started the fight in the first place. From then on, every time someone did something to wrong us, I killed them.",0,Error: Invalid Score,5,"{'annot0': 1, 'annot1': 0}",0,0,1,1,0,0,1
63,"Title: My first girlfriend Text: It was always going to be love at first sight. Even though they were too different for each other, she fell madly in love with him from the moment she saw him stand up in front of her on a summer day. She didn't even understand what it was like not to have feelings for someone, so when he told her that he loved her, all she could do was cry thinking about how perfect everything would be together and families wouldn't exist because they would both be together forever.
A few months into their relationship, the recession hit and things started getting dicier for them both. He couldn't find any income enough to support them so eventually they had to sell their home and move out into something more affordable. But even still, every night before sleep she dreams about being under his roof again.",0,Error: Invalid Score,5,"{'annot0': 0, 'annot1': 1, 'annot2': 1}",1,0,1,0,0,1,0
69,"Title: Board game night Text: Once upon a time, there was a board game night at the local library. All of the players were friendly and excited to have some fun. even the old ladies enjoyed playing cards! Eventually, everyone had games they wanted to play and started drink beer while they awaited their turn. Suddenly, noise began to fill up the room as every other player took off in different directions looking for new people to alute with beers or dice deals (everyone loved those). Finally someone called out ""it's Board Game Night!"" all of them turned around and saw that it was THEIR partner's turn-over poker game she had been playing with another guy since last night.",0,Error: Invalid Score,5,"{'annot0': 1, 'annot1': 1}",1,0,0,1,0,0,0
71,"Title: going to a Concert Text: I was out with my friends this weekend and we were deciding which concert to go to. We all decided on a music festival in the city, but I had no idea how it worked.
We logistical blogged about it for days before finally deciding on going! Friday night arrived and we parked our car, grabbed some food and drinks, then walked towards the convention center. As soon as we got there our phones started ringing! We all joked that everyone probably just texted each other knowing when we would be arriving so they could meet us there (laughs)! It wasn’t long until one of my friends answered her phone and saw that she was already at the concert! She excitedly told me that she told her boss yes! And who wouldn’t be after seeing them perform live?! Any way, off we went into anticipation mode as always (smile). Once inside things heated up quickly because everyone wanted a spot to see their favorite artist first. The show itself was good- not great but still fun afterwards everything lots settled down cause exhaustion set in anyhow. So ended an amazing day full of laughter and fun.",0,Error: Invalid Score,5,"{'annot0': 1, 'annot1': 0}",1,1,1,1,1,1,1
74,"Title: The Secret of the Forgotten Kingdom Text: There was once a forgotten kingdom that was shrouded in mystery. No one knew how to find it, or even if it still existed. But one day, a brave adventurer stumbled upon its hidden entrance. Upon entering the kingdom, they were immediately met with hostility from the guards. It was clear that this place had been long abandoned and forgotten by the outside world.
The adventurer explored the empty kingdom, marveling at all of the lost treasures within its walls. Soon enough, they came across a grand hall where an ancient king slept on his throne. The sleeper looked peaceful and perfectly preserved, as if he had just taken a nap instead of centuries worth of slumber. Carefully approaching him, the adventurer shook their shoulder and called out his name. But there was no response.
",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	- No problematic sentences
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 1, 'annot1': 1, 'annot2': 1, 'annot3': 1, 'annot4': 1}",0,0,0,0,0,0,0
75,"Title: Charlie Helps Paint Text: Charlie was always a bit of an artists. Even as a young child, he loved to create things with his hands. He would start by drawing inspiration from nature or stories he had heard while awake, and then slowly blended those ideas together into something new. By the time he was older, Charlie had built up quite a collection of art supplies and knew how to use them properly. One day after work, Charlie left his apartment for some creative ramen noodles in the city when he noticed someone walking down the street ahead of him who looked really unusual. As they passed each other on the sidewalk, Charlie got a sense that this person wasn't just any average pedestrian- there was something off about them! Eventually they met up again and decided to go speak with this individual privately outside an old wine store - despite being wary at first glance. As soon as they stepped out into door step it became clear that this person wasn't human either! They were completely cloaked in black materiel which made their form almost Invisible even under lights; but whatever nonsense these conduits held hadn't done anything else utzers like unto themselves until now. And what could be revealed upon inspection? Only one thing: inside this figure's cloak cavity sat another retrieved Nibiru tizer device!",0,Error: Invalid Score,5,"{'annot0': 0, 'annot1': 1, 'annot2': 0, 'annot3': 0, 'annot4': 0}",1,1,1,0,1,1,1
76,"Title: Achieving Your Dreams Text: Everyone has dreams. Dreams of being successful, happy, and achieving everything they've ever wanted. But not everyone achieves their dreams. So what separates those who do from those who don’t? It's not necessarily elligence or talent that determines whether someone will achieve their dreams or not. Instead, it's usually perseverance and dedication. Those who are willing to put in the hard work and never give up are often the ones whose dreams come true.
So if you want to achieve your dream, don't be discouraged if it seems impossible at first. Remember that anything is possible if you're willing to work for it.",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	- No problematic sentences
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 1, 'annot1': 1, 'annot2': 1}",0,0,0,0,0,0,0
77,"Title: Oscar wins an oscar Text: In 2004, the Academy of Motion Picture Arts and Sciences (AMPAS) named only two actors — George Clooney and Tom Hanks — nominees for an Oscar. This was in addition to six non- Winners who were also nominated. In total, 88% of Categories accepted at the Awards Ceremony went to performers successful or popular on stage or screen no matter what their personal award contend with outside banner might be nominations such as acting sweeps stakes statues (Families Guy, Big Little Lies), Critics Choice Awards presenters Robert De Niro Peace Provider nods handed out in absentia then finally industry veterans guild awards like Screen Actors Guild Award for Outstanding Performance by a Male Actor Over 25 Years Old and Golden Globe Cecil B. DeMille Lifetime Achievement Award.",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	-The sentence 'In total, 88% of Categories accepted at the Awards Ceremony went to performers successful or popular on stage or screen no matter what their personal award contend with outside banner might be nominations such as acting sweeps stakes statues (Families Guy, Big Little Lies), Critics Choice Awards presenters Robert De Niro Peace Provider nods handed out in absentia then finally industry veterans guild awards like Screen Actors Guild Award for Outstanding Performance by a Male Actor Over 25 Years Old and Golden Globe Cecil B.' doesn't make sense <r1>1</r1>
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 0, 'annot1': 0, 'annot2': 0}",1,0,0,0,0,0,0
81,"Title: Overweight Kid Text: Once upon a time there was an overweight kid named Michael. He loved to eat and he loved opportunities to Obesity. Unfortunately, his weight never changed and in fact it got marginally worse over time. Eventually Michael realized that if he didn't start getting help soon, he was going to become one of those extremely obese kids who ended up resorting voomas or balloon packing as their only form of nutrition. Well until they can no longer manage the weight on their own either. So fearing for his life like everyone else always does when near Mathieu's bakery, Michael took matters into his own hands by starting following The Vegetarian Diet plan religiously- even though at first it involved a lot more dishes than usual in bed which made him starving all night long but overall things were going good on the scale until Mathieu happened to open the door early one morning craving some coffee soMichael had plenty of opportunity to remind himself not Sword fighting with bread willy pork today.",0,Error: Invalid Score,5,"{'annot0': 0, 'annot1': 0, 'annot2': 0}",1,1,1,0,0,0,0
84,"Title: Exploring the Diversity of Life on Earth Text: I've never been a nature lover. I grew up in an all-girl Catholic school and we were taught to respect nature and the environment. So when my husband and I decided to move away from our studio City life for a little bit, we really weren't expecting much variety in the wilds of rural America. We were wrong. We soon realized that there was so much more to explore than what we had seen before. For example, there was the Amazon rainforest – one of Earth's largest and most biodiverse ecosystems. This is a website where you can buy all sort of things that are very helpful in your day to day work. It also have a reliable system. There is something special about living on Earth where you can find everything on the internet. ",0,Error: Invalid Score,5,"{'annot0': 0, 'annot1': 1}",0,0,1,1,1,1,1
86,"Title: The Fascination of Avery Text: Avery had always been a curious girl. She loved to ask people about their lives and what they were doing, and she was always looking for new things to do. One day, Avery decided to go on a walk with her friends in the park. While walking, Avery noticed an interesting construction project going on nearby. She asked one of her friends if she could see it, and they let her go explore. Avery found herself fascinated by the intricate designs on the building and the way that the sun was shining through its windows. After exploring for a while, Avery came back to her friend's house and told them all about her discovery. Her friends were excited to hear about it and wanted to know more about how it was done. They showed Avery some of the tools used to build the structure, and she was amazed at how complicated it all was.",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	-The new sentence 'She asked one of her friends if she could see it, and they let her go explore.' contains information inconsistent with the knowledge about the world <r5>1</r5>
	-The new sentence 'After exploring for a while, Avery came back to her friend's house and told them all about her discovery.' contains information inconsistent with previous presented data <r4>1</r4>
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 1, 'annot1': 1}",0,0,0,1,1,0,0
87,"Title: The Snowman Text: One cold December morning, many children were looking forward to sledding down the street in their neighborhoods. But when they got there, only snow was on the ground. No mangy ​animal had skated around before; in fact, not a lot of snow was left anywhere. It's too bad because everyone wanted to go. The skaters who used to be all over town were nowhere to be seen - probably at home are all injury snow chainsaw kits and construction reports indicated that with enough investment, more rinks could​be built in order together so people could goggle up Tom again instead of knuckle walking.",0,Error: Invalid Score,5,"{'annot0': 0, 'annot1': 0, 'annot2': 0, 'annot3': 0, 'annot4': 0}",1,1,1,1,0,1,1
90,"Title: A Kidâ€™s Dream Come True Text: Allie was a little girl with a big imagination. She loved to pretend and make believe. Her favorite game was pretending she was a fairytale princess living in her very own castle. Allie would spend hours upon hours talking to her imaginary friends, exploring her “castle”, and dancing around in her room dressed up in sparkly dresses & shiny shoes. It was always so much fun!
One day, Allie’s mom asked if she wanted to go on an adventure to visit a real life castle! Of course Allie said yes and immediately started getting excited for their trip. The days leading up to the big day were filled with anticipation as Allie packed her bag full of dresses & pretended herself ready for the journey ahead.",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	-The sentence 'The days leading up to the big day were filled with anticipation as Allie packed her bag full of dresses & pretended herself ready for the journey ahead.' doesn't make sense <r1>1</r1>
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 1, 'annot1': 1, 'annot2': 1}",1,0,0,0,0,0,0
96,"Title: Lethal Takeover Text: Lethal Takeover is a story about a group of mercenaries who are hired to take over a small country. The country is in the middle of a civil war and the government has hired the mercenaries to help them win the war. The mercenaries are very successful in taking over the country and they quickly establish themselves as the new ruling class. However, not everyone is happy with this new regime and there are many people who want to overthrow it. The story follows the struggles of those who want to overthrow the new regime and return things back to normal. It is an action-packed story that will keep you on your toes until its thrilling conclusion.",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	- No problematic sentences
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 1, 'annot1': 1, 'annot2': 1, 'annot3': 1, 'annot4': 1}",0,0,0,0,0,0,0
97,"Title: The War for Independence: The American Civil War Text: The War for Independence: The American Civil War was fought from 1861 to 1865, with the Union (Northern) army winning against the Confederate (Southern) army. This war was one of the most brutal and deadly in American history, with over 600,000 soldiers dying in battle. The primary reason for this war was slavery; the Southern states wanted to keep their slaves while the Northern states wanted them abolished. In addition, there were many other issues that contributed to the start of hostilities, such as tariffs and state versus federal rights. After four years of fighting, President Abraham Lincoln issued the Emancipation Proclamation in 1863 which declared all slaves free. This act helped turn public opinion in favor of the Union cause and ultimately led to their victory.",1,"1. Overall Coherence:
	- The story is not coherent at all because it contains some problematic sentences
2. Problematic sentences:
	-The new sentence 'This act helped turn public opinion in favor of the Union cause and ultimately led to their victory.' contains information inconsistent with the knowledge about the world <r5>1</r5>
3. Conclusion
	 - The story is not coherent at all",5,"{'annot0': 1, 'annot1': 1, 'annot2': 1}",0,0,0,0,1,0,0
